country,year,sex,age,suicides_no,population,suicide_rate,gdp_per_capita 
Albania,2000,female,15-24 years,6,263900,2.27,1299
Albania,2000,male,15-24 years,5,240000,2.08,1299
Albania,2001,male,15-24 years,10,256039,3.91,1451
Albania,2001,female,15-24 years,9,271359,3.32,1451
Albania,2002,male,15-24 years,15,263067,5.7,1573
Albania,2002,female,15-24 years,14,275970,5.07,1573
Albania,2003,male,15-24 years,15,273235,5.49,2021
Albania,2003,female,15-24 years,14,283709,4.93,2021
Albania,2004,female,15-24 years,20,292268,6.84,2544
Albania,2004,male,15-24 years,19,286768,6.63,2544
Albania,2005,female,15-24 years,0,281922,0,2931
Albania,2005,male,15-24 years,0,281675,0,2931
Albania,2006,female,15-24 years,0,283138,0,3235
Albania,2006,male,15-24 years,0,286679,0,3235
Albania,2007,female,15-24 years,13,281080,4.63,3863
Albania,2007,male,15-24 years,13,288349,4.51,3863
Albania,2008,female,15-24 years,20,276073,7.24,4672
Albania,2008,male,15-24 years,11,286702,3.84,4672
Albania,2009,female,15-24 years,0,270003,0,4387
Albania,2009,male,15-24 years,0,283448,0,4387
Albania,2010,male,15-24 years,10,279508,3.58,4359
Albania,2010,female,15-24 years,6,263581,2.28,4359
Argentina,2000,male,15-24 years,463,3306109,14,8462
Argentina,2000,female,15-24 years,116,3249247,3.57,8462
Argentina,2001,male,15-24 years,518,3325440,15.58,7900
Argentina,2001,female,15-24 years,166,3262682,5.09,7900
Argentina,2002,male,15-24 years,542,3331708,16.27,2840
Argentina,2002,female,15-24 years,158,3263542,4.84,2840
Argentina,2003,male,15-24 years,638,3331226,19.15,3668
Argentina,2003,female,15-24 years,179,3258029,5.49,3668
Argentina,2004,male,15-24 years,653,3333328,19.59,4683
Argentina,2004,female,15-24 years,159,3255244,4.88,4683
Argentina,2005,male,15-24 years,638,3343414,19.08,5590
Argentina,2005,female,15-24 years,148,3260468,4.54,5590
Argentina,2006,male,15-24 years,656,3357424,19.54,6475
Argentina,2006,female,15-24 years,175,3271703,5.35,6475
Argentina,2007,male,15-24 years,577,3381171,17.07,7918
Argentina,2007,female,15-24 years,146,3292790,4.43,7918
Argentina,2008,male,15-24 years,625,3410092,18.33,9843
Argentina,2008,female,15-24 years,180,3319037,5.42,9843
Argentina,2009,male,15-24 years,609,3436265,17.72,8961
Argentina,2009,female,15-24 years,164,3342385,4.91,8961
Argentina,2010,male,15-24 years,683,3455127,19.77,11273
Argentina,2010,female,15-24 years,150,3358103,4.47,11273
Argentina,2011,male,15-24 years,693,3471151,19.96,13946
Argentina,2011,female,15-24 years,172,3372659,5.1,13946
Argentina,2012,male,15-24 years,745,3480902,21.4,14203
Argentina,2012,female,15-24 years,204,3380770,6.03,14203
Argentina,2013,male,15-24 years,696,3486661,19.96,14206
Argentina,2013,female,15-24 years,167,3384642,4.93,14206
Argentina,2014,male,15-24 years,738,3492454,21.13,13400
Argentina,2014,female,15-24 years,204,3388324,6.02,13400
Argentina,2015,male,15-24 years,656,3500580,18.74,14981
Argentina,2015,female,15-24 years,153,3394201,4.51,14981
Australia,2000,male,15-24 years,271,1333011,20.33,23219
Australia,2000,female,15-24 years,78,1285283,6.07,23219
Australia,2001,male,15-24 years,280,1351444,20.72,20860
Australia,2001,female,15-24 years,63,1303713,4.83,20860
Australia,2002,male,15-24 years,246,1372770,17.92,21474
Australia,2002,female,15-24 years,58,1316527,4.41,21474
Australia,2003,male,15-24 years,243,1394989,17.42,25059
Australia,2003,female,15-24 years,48,1333189,3.6,25059
Australia,2004,male,15-24 years,205,1420482,14.43,32454
Australia,2004,female,15-24 years,67,1364452,4.91,32454
Australia,2006,male,15-24 years,230,1446866,15.9,39014
Australia,2006,female,15-24 years,68,1388615,4.9,39014
Australia,2007,male,15-24 years,234,1515524,15.44,43171
Australia,2007,female,15-24 years,66,1440419,4.58,43171
Australia,2008,male,15-24 years,228,1560974,14.61,52315
Australia,2008,female,15-24 years,60,1473105,4.07,52315
Australia,2009,male,15-24 years,210,1605456,13.08,45128
Australia,2009,female,15-24 years,66,1506719,4.38,45128
Australia,2010,male,15-24 years,222,1618860,13.71,54887
Australia,2010,female,15-24 years,80,1521652,5.26,54887
Australia,2011,male,15-24 years,242,1570069,15.41,66770
Australia,2011,female,15-24 years,93,1495053,6.22,66770
Australia,2012,male,15-24 years,217,1579672,13.74,72669
Australia,2012,female,15-24 years,109,1503934,7.25,72669
Australia,2013,male,15-24 years,267,1591539,16.78,72856
Australia,2013,female,15-24 years,95,1512779,6.28,72856
Australia,2014,male,15-24 years,271,1604935,16.89,66809
Australia,2014,female,15-24 years,96,1520955,6.31,66809
Australia,2015,male,15-24 years,281,1608990,17.46,60656
Australia,2015,female,15-24 years,110,1526305,7.21,60656
Brazil,2000,male,15-24 years,1037,17494250,5.93,4156
Brazil,2000,female,15-24 years,345,17175577,2.01,4156
Brazil,2001,male,15-24 years,1262,17698960,7.13,3492
Brazil,2001,female,15-24 years,393,17361833,2.26,3492
Brazil,2002,male,15-24 years,1226,17863758,6.86,3121
Brazil,2002,female,15-24 years,411,17507998,2.35,3121
Brazil,2003,male,15-24 years,1259,17983317,7,3376
